user_country,source,content,date
United States,Hootsuite Inc.,The final installment of #Debates2020 will cover six main issues:  ✔Covid-19 ✔American families ✔Race in America ✔Climate change ✔National security ✔Leadership  What does each candidate need to accomplish tonight?  Share your comments ⤵️ https://t.co/tIimZ0yuhP https://t.co/3SjCGOpghI,2020-10-22T20:52:46+00:00
PVD,Twitter for Android,"Having conversations today with the @BristolCC community about intersectionality of race, disability, and mental health rights.  A quick [recent] history of fights that led to rights for people with disabilities in America:  https://t.co/RXF0QAszeU",2020-10-22T20:52:12+00:00
Straight Outta Cleveland,Twitter Web App,#ThrowbackThursday to the one that started it all. The very first #Unscripted with the former @AFLDestroyers. My guys @Veesonie4 @KOBI_48 @UTBeans. Discussing race and sports in America. I will need to send you guys the @HOMAGE shirts when they are ready. https://t.co/wbtlxbKcpm,2020-10-22T20:50:14+00:00
the Rock,Twitter for Android,Topics for tonight's debate   Fighting Covid-19 🤔 American Families 👍 Race in America 🤔 Climate Change 🤔 National Security 👍 Leadership 🤔,2020-10-22T20:50:08+00:00
"Basement, Mom's House",Twitter Web App,@ecocktimes @PeteStopTire maybe it's more of an American thing then since the intersectionality of race/gender is much more different here because of the post racial history since 1945 in America,2020-10-22T20:43:55+00:00
New York,Twitter Web App,"@AndrewHClark @TeamTrump upset that reporters are asking questions about tonight's agreed-upon debate topics:  fighting COVID-19, American families, race in America, climate change, national security and leadership.  Is @WhiteHouse whining strategic? An attempt to cook up an excuse for defeat?",2020-10-22T20:40:29+00:00
,Twitter for Android,@nytimes What about foreign policy? How could a presidential election happen with not even a debate topic on foreign policy? Race in America has been a topic 3x now.,2020-10-22T20:38:45+00:00
🔞𝗔𝗠𝗘𝗥𝗜𝗖𝗔: 𝗩𝗼𝘁𝗲➡️,TweetDeck,The final installment of #Debates2020 will cover six main issues:  📌 Covid-19 📌 American families 📌 Race in America 📌 Climate change 📌 National security 📌 Leadership  Here’s where President Trump and Joe Biden stand on each of them. https://t.co/86vfsJFk2g,2020-10-22T20:35:45+00:00
"Farmlands, USA",TweetDeck,"POTUS debate topics tonight are the same topics as before: fighting COVID-19, American families, national security, leadership, climate change, and race in America. Is this because Biden is senile and forgot the first one happened or so they can block any questions @ Hunter Biden",2020-10-22T20:32:01+00:00
,Twitter for Android,"@winning_race 220 million americans have  died, theres only 329 million in  america..... wow, who crunches her numbers, stats specialists Bodgeit &amp;Scaroer?",2020-10-22T20:31:46+00:00
New York City,SocialFlow,The final installment of #Debates2020 will cover six main issues:  📌 Covid-19 📌 American families 📌 Race in America 📌 Climate change 📌 National security 📌 Leadership  Here’s where President Trump and Joe Biden stand on each of them. https://t.co/hkMGGGgDgt,2020-10-22T20:30:06+00:00
"Greeley, CO",Twitter Web App,"The last presidential debate before #election2020 is tonight. @realDonaldTrump and @JoeBiden how will they address the questions about fighting COVID-19, American families, race in America, and affordable housing? #donaldtrump #joebiden #vote #costofhome https://t.co/38tc0N4IU7",2020-10-22T20:30:00+00:00
"Seattle, WA",chirr.app,"6/ The same tools have been used by historians on a variety of subjects, promoting flawed narratives on race, politics, and violence in America.  These subjects remain the most inflammatory issues of the present day, while something like the Pig War is a lot less contentious.",2020-10-22T20:29:41+00:00
,Twitter Web App,"Some friends in Cali &amp; IL say why vote cuz these states r safely DEM. Cuz there's more than a Prez race going on! In many safe states in America, there r Sen seats, House, state legis, local, &amp; initiatives. In 15 states, some ""safe"" at the prez level, there r statewide like Gov.",2020-10-22T20:28:06+00:00
Upstate NY,Twitter Web App,Topics for the debate tonight:  Fighting COVID-19 American families Race in America Climate change National Security Leadership  The debate begins at 8 PM EST and is expected to last 90 minutes.,2020-10-22T20:25:23+00:00
UMass Boston,Twitter for iPhone,Thank you @walthamlibrary for putting hosting this important discussion: “Race and Childbirth in America”. ✨ You can learn more about by swiping ← and watch this event live October 28th on YouTube at https://t.co/jEkTqbpMs6 ✨ Info slides taken from: https://t.co/xjsLiqrfpS https://t.co/SPPLm2iuC4,2020-10-22T20:21:43+00:00
"Orlando, Flawda",Twitter for iPhone,"The problem of race in America is like a form of a family feud.. in a sense that, the highest powers in this nation.. not the faces of the nation.. the powers only care about M O N E Y.. them tax codes don’t gaf if you white or black.. it care about the $$$",2020-10-22T20:16:03+00:00
"Oak Park, IL",Twitter Web App,Here's a quick chart showing the race/gender breakdown of Executives in America vs the actual people in America. I thought it was a cool look because you could see not just who the looters are but who they stole from. https://t.co/qsxbpqNmWo,2020-10-22T20:15:13+00:00
"Frankfurt, Germany",Twitter for Android,"Six main topics will be discussed in the Nashville US presidential debate today Oct 22, including: •Fighting COVID-19 •American Families •Race in America •Climate Change •National Security •Leadership #uspresidentialdebate2",2020-10-22T20:12:19+00:00
,Schedule Tweeter,1-Washington Post Discussion on Race in America 2-*U.S. Senate 3-The Contenders: George McGovern https://t.co/ijwlOqAQyS,2020-10-22T20:06:04+00:00
South Africa,Twitter for Android,"@ndabezinhle_g3 @AdvoBarryRoux I agree, we can be spiritual without the psychotic Bible that has been used to abuse black, white, indians almost every race but mostly it's used to abuse black people cause we are too loyal by nature that's why our fellow Africans were slaves in America for more than 400yrs",2020-10-22T20:05:49+00:00
United States,Twitter for iPhone,"NO SURPRISE that, in spite of the grotesque person in the WH, it may be a close race.  Civil rights / equal rights had to be legislated / mandated in America. Left to its own morality, this sign would still be up. 👇🏾👇🏾 https://t.co/WYjl8m5siY",2020-10-22T20:05:06+00:00
"Houston, Texas",Twitter Web App,Anyone — Regardless of Race or Gender — Can Succeed in America https://t.co/FssZvZJ4nK via @RealRLimbaugh,2020-10-22T20:02:53+00:00
,ConfluxBot,Episode Downloaded Street Outlaws: Race Night in America - 1x08 - Episode 8 [SDTV],2020-10-22T19:55:03+00:00
,Twitter for iPhone,One of my coworkers said he doesn’t think there are any race issues in America...... how can one be so blind?,2020-10-22T19:53:59+00:00
"Washington, DC",Twitter for Advertisers (legacy),"The advent of the automobile brought new freedom and mobility, but also new dangers to African Americans. This recent history reverberates today. Stream  ""Driving While Black: Race, Space and Mobility in America"" on the PBS Video App. https://t.co/FDw7UvdiSI",2020-10-22T19:51:00+00:00
,Twitter for iPhone,"@BroccoliMc @XfinityRacing @DustinAlbino @BubbaWallace Only in America can we find a way for a garage pull down that’s been there for years and proved not to be race bait by the FBI, and it still be racist",2020-10-22T19:41:29+00:00
